uuid,old_name,new_name,type
3a54692b-85cb-3a4f-99a3-475ae1b06671,"Gypsum wallboard product, regular, 0.5 inch (12.7 mm)","Gypsum wallboard product; regular, 0.5 inch, 12.7 mm",flow
7dc8e563-0e33-399c-801f-2f9c45612b16,"Creosote, at plant",Creosote; at plant,flow
7eb5fa0a-92fc-34d5-a0ba-68eb39e736f5,"Expanded perlite, at plant",Expanded perlite; at plant,flow
b6fd2a6b-1140-3a94-a8df-34a5031ba57a,"Unsaturated polyester, UPR, resin, at plant","Unsaturated polyester, UPR; resin; at plant",flow
b3724299-45f9-362e-ad4d-abaab0ae3de5,Urea 40% solids,Urea; 40% solids,flow
57ce615d-ee8c-3c8d-8693-356b330f8445,"Sulphite, at plant",Sulphite; at plant,flow
4b2b4b2c-15a2-3f24-81c9-e65273e76e9a,"Body washer, at plant",Body washer; at plant,flow
44ba5894-0490-34ca-95b2-1c0fa3bc20c2,"UV-cured stain, 100% solids",UV-cured stain; 100% solids,flow
6a14d14a-c3dd-3605-95b1-bc2abb3f6b51,"Ethanol, denatured, at refueling station",Ethanol; denatured; at refueling station,flow
afb14b66-ed8f-3acf-8080-7fcfde4019ab,"Alkaline cleaner, unspecified",Alkaline cleaner; unspecified,flow
1c5b3e13-494b-43a0-8da4-f3cda8f93e55,"Alumina, at plant",Alumina; at plant,flow
4f76f422-d876-3573-b63a-2309413431bc,"Clearcoat material, at plant",Clearcoat material; at plant,flow
dde87dad-650a-3eb5-8494-6113235f5c54,"Turpentine, from industry-average containerboard",Turpentine; from containerboard,flow
750d9668-4ef6-3413-aac1-5777346d807c,"Ductile Iron Pipe, 50""","Ductile iron pipe; 50""",flow
963788d0-fd6c-3023-a251-bb133b98a858,"Prewipe, at plant",Prewipe; at plant,flow
2f568e74-ba85-3184-8269-40725b2d19c6,"Defoamant, unspecified",Defoamant; unspecified,flow
42319634-060d-48de-9450-f153bd7e34aa,"Boric oxide, at plant",Boric oxide; at plant,flow
2d20cafa-b435-3f58-b3ee-cbd81e814818,"Disposal, baghouse lime, unspecified treatment","Disposal, baghouse lime; unspecified treatment",flow
99677578-be6e-3b54-ba97-3afe1cc82ea4,"Transport, motor home, gasoline powered",Transport; motor home; gasoline powered,flow
4f228b5b-d313-454b-94cf-8d0c156ca21a,"Disposal, spoil",Disposal; spoil,flow
b53c3adc-e5ac-4222-acfc-979ba4015463,"Disposal, carbon black, to residual material landfill","Disposal, carbon black; to residual material landfill",flow
2293e639-39a3-3cbf-99cc-8cf01797aa99,"Aniline, at plant",Aniline; at plant,flow
a44c2f1b-c466-3e65-a304-c659af42233f,"Fines, at oriented strand board production",Fines; at oriented strand board production,flow
808f834e-a34b-37a0-952c-57d6d404de92,"Zinc, sheet",Zinc; sheet,flow
86330173-3836-3299-b413-83d829fb604b,"Aluminum scrap, at semi-permanent mold casting",Aluminum scrap; at semi-permanent mold casting,flow
25d73e00-0b36-4a76-b168-087f1ab49c03,"Disposal, solid waste, unspecified, to unspecified treatment","Disposal, solid waste; to unspecified treatment",flow
671bebd9-4998-4b85-9913-605f89effc5d,"Overburden, stockpiled, steelmaking, on-site, for unspecified beneficial use","Overburden; stockpiled, steelmaking, for unspecified beneficial use; on-site",flow
318ddf7f-2def-3dca-9fee-ced811100506,Bark; softwood; national forest; gentle slope; at forest road,"Bark, softwood; national forest, gentle slope; at forest road",flow
7f562370-6427-3cad-9fcd-7277dc3162f5,"Accelerator, at plant",Accelerator; at plant,flow
4943a90e-9ed9-3682-a221-ec37fde3439a,Pulpwood; hardwood; average; Low Intensity Management,"Pulpwood, hardwood; average, low intensity management",flow
0e6f89b8-2d57-3e6b-a9e8-7e5e68820470,"Ethoxylated alcohols (AE7), petrochemical, at plant",Ethoxylated alcohols (AE7); petrochemical; at plant,flow
30c89ffc-e08a-3d2b-8c96-33b2397b9bd8,"Transport, single unit truck, gasoline powered",Transport; single unit truck; gasoline powered,flow
19bbf654-b6bd-3741-8f2c-9bce8934f7b1,"Titanium dioxide, at plant",Titanium dioxide; at plant,flow
7f4b388d-12d0-32fe-9bde-fe68be67a76e,"Silver, at regional storage",Silver; at regional storage,flow
93ccefc4-7a92-358d-a7ef-5cda90b4657b,"Adhesives and binders, at plant",Adhesives and binders; at plant,flow
